Customer,Geographic indicator,Months with service,Age in years,Marital status,Years at current address,Household income in thousands,Level of education,Years with current employer,Retired,Gender,Number of people in household,Customer category
ID0501,Zone 2,15,39,Unmarried,19,32,Completed High School,2,No,Male,1,Category 2
ID0502,Zone 3,32,35,Unmarried,12,57,Graduate,5,No,Male,1,Category 2
ID0503,Zone 2,22,39,Unmarried,0,63,Graduate,9,No,Male,1,Category 2
ID0504,Zone 2,8,22,Unmarried,3,25,Graduate,0,No,Male,1,Category 3
ID0505,Zone 1,3,31,Married,4,22,Did Not Complete High School,1,No,Male,2,Category 1
ID0506,Zone 2,32,54,Unmarried,6,155,Completed High School,20,No,Male,1,Category 1
ID0507,Zone 1,49,54,Unmarried,24,30,Completed High School,5,No,Male,1,Category 2
ID0508,Zone 2,2,28,Unmarried,7,46,Undergraduate,0,No,Female,1,Category 4
ID0509,Zone 1,39,47,Unmarried,1,68,Graduate,10,No,Female,2,Category 2
ID0510,Zone 1,42,33,Unmarried,2,67,Completed High School,5,No,Male,2,Category 2
ID0511,Zone 1,28,36,Unmarried,3,69,Undergraduate,2,No,Male,1,Category 4
ID0512,Zone 2,41,46,Married,14,47,Completed High School,11,No,Male,5,Category 4
ID0513,Zone 3,67,50,Married,31,83,Completed High School,12,No,Male,2,Category 2
ID0514,Zone 1,38,40,Unmarried,15,34,Completed High School,11,No,Female,1,Category 2
ID0515,Zone 2,18,38,Unmarried,8,45,Completed High School,2,No,Female,4,Category 4
ID0516,Zone 2,6,42,Married,17,29,Completed High School,2,No,Female,2,Category 4
ID0517,Zone 2,4,36,Unmarried,0,21,Completed High School,1,No,Female,3,Category 1
ID0518,Zone 1,13,23,Married,3,30,Undergraduate,0,No,Female,4,Category 4
ID0519,Zone 1,20,35,Unmarried,0,78,Graduate,7,No,Male,1,Category 4
ID0520,Zone 1,34,49,Married,27,61,Undergraduate,15,No,Female,2,Category 3
ID0521,Zone 1,46,29,Married,4,90,Doctorate,3,No,Male,4,Category 4
ID0522,Zone 1,48,41,Unmarried,21,43,Completed High School,7,No,Male,1,Category 2
ID0523,Zone 3,69,61,Married,12,301,Completed High School,37,No,Male,2,Category 3
ID0524,Zone 1,32,34,Married,7,32,Completed High School,15,No,Male,4,Category 1
ID0525,Zone 1,29,29,Unmarried,9,41,Completed High School,9,No,Male,2,Category 2
ID0526,Zone 3,55,52,Unmarried,22,127,Did Not Complete High School,28,No,Female,3,Category 2
ID0527,Zone 3,72,60,Married,36,271,Did Not Complete High School,43,No,Female,2,Category 3
ID0528,Zone 3,29,26,Unmarried,1,32,Undergraduate,2,No,Female,1,Category 1
ID0529,Zone 2,50,25,Married,1,36,Graduate,2,No,Female,5,Category 4
ID0530,Zone 3,35,50,Married,11,293,Undergraduate,21,No,Male,2,Category 1
ID0531,Zone 3,11,63,Unmarried,9,41,Undergraduate,3,No,Male,1,Category 1
ID0532,Zone 1,9,29,Unmarried,9,39,Undergraduate,5,No,Female,1,Category 1
ID0533,Zone 2,51,48,Unmarried,27,58,Did Not Complete High School,18,No,Male,1,Category 3
ID0534,Zone 1,33,34,Married,2,28,Did Not Complete High School,3,No,Female,3,Category 2
ID0535,Zone 1,25,20,Unmarried,0,15,Completed High School,0,No,Male,2,Category 3
