Customer,Toll free service,Equipment rental,Calling card service,Wireless service,Long distance last month,Toll free last month,Equipment last month,Calling card last month,Wireless last month,Long distance over tenure,Toll free over tenure,Equipment over tenure,Calling card over tenure,Wireless over tenure,Multiple lines,Voice mail,Paging service,Internet,Caller ID,Call waiting,Call forwarding,Three way calling,Electronic billing,Churn within last month
ID0001,No,No,Yes,No,3.7,0,0,7.5,0,37.45,0,0,110,0,No,No,No,No,No,No,Yes,No,No,No
ID0002,Yes,No,Yes,Yes,4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
ID0003,Yes,No,Yes,No,18.15,18,0,30.25,0,1300.6,1247.2,0,2150,0,No,No,No,No,Yes,Yes,No,Yes,No,No
ID0004,No,No,No,No,9.45,0,0,0,0,288.8,0,0,0,0,No,No,No,No,No,No,No,No,No,No
ID0005,No,No,No,No,6.3,0,0,0,0,157.05,0,0,0,0,No,No,No,No,Yes,No,Yes,Yes,No,No
ID0006,Yes,No,Yes,No,11.8,19.25,0,13.5,0,487.4,798.4,0,570,0,No,No,No,No,Yes,Yes,No,No,No,No
ID0007,No,No,Yes,No,10.9,0,0,8.75,0,504.5,0,0,415,0,Yes,No,No,Yes,No,Yes,No,No,Yes,No
ID0008,Yes,Yes,Yes,Yes,6.05,45,50.1,23.25,64.9,239.55,1873.05,1820.9,880,2256.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
ID0009,Yes,No,Yes,No,9.75,28.5,0,12,0,449.05,1240.15,0,505,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No
ID0010,No,No,Yes,No,24.15,0,0,16.5,0,1659.7,0,0,1155,0,Yes,No,No,No,No,No,No,No,No,No
ID0011,No,Yes,No,No,4.85,0,26.15,0,0,17.25,0,110.1,0,0,No,No,Yes,Yes,No,No,No,No,Yes,Yes
ID0012,Yes,No,Yes,No,7.1,22,0,23.75,0,47.45,166.1,0,145,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No
ID0013,No,No,Yes,No,8.55,0,0,41.75,0,308.7,0,0,1650,0,No,No,No,No,No,No,No,No,No,No
ID0014,Yes,Yes,No,Yes,15.6,46.25,46.7,0,61.05,825.35,2624.25,2590.95,0,3348.85,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
ID0015,No,No,No,No,4.4,0,0,0,0,36.8,0,0,0,0,No,No,No,No,No,No,No,No,No,No
